,level_0,evaluation,orientation,Lemma_clean_eng_text,length,Vader_Compound,Vader_sentiment,Vader_score,TextBlob_polarity,TextBlob_subjectivity,TextBlob_sentiment,TextBlob_score
0,0,1,0,article address relevant contingent problem includes national diagnosis use good practice solution good concrete practice language right article feel like concatenation three different article result survey good security practice incorporation good practice order section would better reflects order revised version article validation kind even expert evaluation,362,0.9657,very positive,2,0.4214285714285714,0.6123376623376623,positive,1
1,0,1,1,article present practical recommendation development secure software best practice recommended developing software proactive face attack described cost analysis software development practice performed based review practice proposed bibliography contrast data obtained survey company finally guide recommended would ideal apply proposed guide company involved survey used give way evaluate effectiveness independently,416,0.9062,very positive,2,0.3833333333333333,0.5041666666666667,positive,1
2,0,1,1,theme interesting much help guide incorporate safety practice presentation description stage use practice development secure software real state software development chile indicated paper cannot achieved survey total present nine table corresponding practice development secure software guide present practice suggest improving guide greatest contribution sequence incorporation propose furthermore explain practice observation differentiate practice column give suggestion apply text indicates later also three extra practice read correctly according format put least keywords suggest mentioning practice showing table reference incomplete example missing year reference missing year type event reference editorial lack reference booksome title carry comma within quotation mark example reference,797,0.9231,very positive,2,0.14285714285714285,0.325,positive,1
3,1,2,1,ict use experience academic collaboration explained orderly didactic way originality work strong dimension seeing longstanding work like gorton et al current lanunile et al however relevance topic reference pattern activity related scientific thesis associated good presentation make contribution suggested view journal publication efficiency effectiveness activity compared without support tool versus current reality tool example possible question answer exploratory analysis main activity use collaborative tool key change design tool developed future conducive studentacademic profile adoption platform reference gorton hawryszkiewycz ragoonaden k collaborative tool process support software engineering shift work bt technology journal jul filippo lanubile christof ebert rafael prikladnicki aurora vizcaino collaboration tool global software engineering ieee software vol pp marapr,887,0.892,positive,1,0.06923076923076922,0.46858974358974353,positive,1
4,1,2,0,author describe methodology developing collaborative form thesis memory using technology commonly used software development also describe specific tool benefit latex git finally propose workflow development project nature main value article lie application knowledge student already dominatethat software development technique toolsto different problem case thesis memory order make process efficient emphasis article solution without detailed analysis problem solved word answer following question awhat exactly problem bwhat impact problem generate cwhy important solve problem dwhat solution implemented date ewhat advantage proposed solution compared previous one opinion article emphasize methodology workflow example add diagramusing visual languagethat allows one hand understand general process thesis development distinguish role activity associated technology phase memory aspect language rigor certain statement given rather atrocious spelling engineer must taken care author empirical support support statement necessary use prosaic language justify desirability using particular technological tool way recommend reviewing expression public point access directly point,1180,0.9768,very positive,2,0.03583959899749374,0.46296992481203003,positive,1
5,2,2,1,paper proposes new approach based support recommendation r evolution weight user characteristic two approach use genetic algorithm work appears technically correct proposal present robust result presented document document series error appear cause confusion variable name abbreviation presentation format variable subindices changed etc example equation function w abbreviation cf figure figure approach apparently us part bd efficiency reason would good use indexing technique support process,494,0.8074,positive,1,0.1366161616161616,0.3285353535353535,positive,1
6,2,2,1,paper aim show new deployment alternative rewarding system end author use two variation chc genetic algorithm good job clear detailed inconsistency notation improved formula notation different rest equation point figure refers profile peso euclidean neighborhood word arent related text think result shown graph would useful shown table,336,0.9313,very positive,2,0.26704545454545453,0.5234848484848486,positive,1
7,2,0,-1,paper well structured follows logical sequence section paper fix infonor conference template english grammar poor make paper difficult read follow either rewrite paper spanish b make paper reviewed professional translator reference recent new work since reference indicate year problem equation font etc figure referenceddiscussedexplained may better present figure table result analysis conclusion declare ga chc better pearsons correlation algorithm however analysis conclusion supported wide variety situation condition therefore true validation work missing,561,0.3612,positive,1,0.04545454545454545,0.33961038961038964,positive,1
8,3,2,2,novel quantum encryption modelling work performed see negative aspect,69,-0.34,negative,-1,-0.3,0.4,negative,-1
9,3,-2,-1,paper involves development application simulate protocol orderly work appreciated without doubt understanding concept quantum physic underpin quantum cryptography noncloning theorem principle overlap interlacing work merit addition use software engineering construction application appreciated positive aspect since usually involved software creation area frontier knowledge codeandfix used disadvantage entail believe manuscript directed area cryptography security specialty computing distributed environment see significant relevance input manuscript using rmi according opinion contribution per se since rmi easy use handled java however interoperable since support programming language besides system based rmi grow problem performance grow slower become hand according purist clientserver system system distributed according others case clientserver basic case distributed computing short speaking strictly area distributed computing see relevance area manuscript however seems another area paper could relevant since orderly clear well written work expert area cryptography year ago heard seminar english speaking quantum cryptography mentioned lot simulator application even said application already used quantum cryptography among several kilometer optical fiber think best evaluate manuscript area area griddistributed system since area paper according opinion original aspect since us trivial aspect clientserver principle already said paper issue quantum physic cryptography distributed computing abstracting area responsible see use distributed environment technology used clientserver interoperable scalability restriction one positive aspect paper appreciate use software engineering regarding area grid computing distributed system manuscript contain relevant aspect us rmi implement clientserver system however rmi easy use good paradigm known computing performance counterposed ease use rmi escape easy use scalability document well presented perhaps table table would better merge using row computer column detail network especially clientserver scheme example ring distribution quantum key computer involved believe presented area cryptography security would pertinent,2187,0.9953,very positive,2,0.25889328063241107,0.5314888010540184,positive,1
10,4,2,1,novel proposal well structured correctly written suggest explain detail trapezoidal function page rewrite paragraph trapezoidal function x enlarge scheme figure explain proposed architecture shown figure review feng et al reference paragraph column page marked reference article format requested infonor please change format,324,0.6908,positive,1,0.1,0.6,positive,1
11,4,2,0,theme interesting well structured far design proposal concerned topic approach improvement however establishes proposal architecture focusing design indicate improvement evaluated measured sdw recommended add metric aspect provide many detail recommended increase nro page improve aspect many bibliographic reference work related effort subject,344,0.9485,very positive,2,0.2388888888888889,0.5388888888888889,positive,1
12,4,2,1,high technical profile contribution theme concise could extended fuzzy input,76,0.0,Neutral,0,0.08666666666666667,0.4133333333333333,positive,1
13,5,-1,0,innovative proposal application industrial engineering methodology field requirement engineering present unification term throughout document related requirement engineering phase eduction elicitation term always used evident gradual improvement construction process quantified improvement quality documentation measure improvement writing spelling error particularly use accent tilde punctuation sign use comma semicolon article proposes use working philosophy another engineering area improve quality level requirement document generated process qualification education believe technical point view would important support analysis result pose quantified measurement comparison allows mean formal method descriptive one generate conclusion improvement quality product associated process engineering requirement evident arrive generated conclusion based say better le error interesting proposal applied real case requirement engineering process currently contributes reducing crisis associated phase software product development organisation document significantly improved consider devote much article expressing associated conceptual framework le application technique case study analysis result paragraph proposal presented supported likewise spelling writing error avoided give greater value presentation article,1317,0.9719,very positive,2,0.22057291666666667,0.45598958333333334,positive,1
14,5,-2,-1,try apply new strategy requirement management support consider applicability process manufacturing process software process true author demming argue possible author sommerville argue characteristic software development technique manufacturing process applicable software author article provide support relation validity aspect article begin stating proposal improve eduction requirement however derived improved generation sr construction generation document requirement different aspect case experimentation presented seen problem solved either construction generation sr rather problem implementation error detected basic aspect programmer minimum experience know solve without need sr explain type minimum validation performed part system test proposal lack practical guideline help implementation pokayoke review carried way look artifact guide review editing error text repeated word spelling problem word accentuation,924,0.0516,positive,1,0.06994949494949494,0.5493686868686869,positive,1
15,5,1,-1,good practice ensure quality requirement eductionsummary poorly worded theoretical explanationsthe translation summary lousythe article written third personthe poka yoke section go section variability requirement cost quality several spelling error,248,0.4215,positive,1,0.059999999999999984,0.26000000000000006,positive,1
16,6,-2,-1,article detail proposal requirement management based kaizen author describe different method technique complement kaizen understand main contribution work according author complement improve kaizen elicitation management requirement however author article present theoretical construction proposal understand article lack work done order validate proposal however article developed six researcher believe include practical aspect proposal,438,0.4767,positive,1,0.05333333333333333,0.2666666666666667,positive,1
17,6,2,0,interesting work although document show proposal would interesting show application,83,0.6597,positive,1,0.5,0.5,positive,1
18,7,1,0,paper describes experience concerning automated inspection spectrum pipeline hubble legacy archive grism data comment conclusion author say identified two class weak spectrum picked automatic classification small number training sample per construction machine learning technique classify outlier sentence explained hastie tibshirani friedman say element statistical learning see chapter difficult give general rule much training data enough among thing depends signaltonoise ratio underlying function complexity model fit data saying number training sample small provide enough information decide whether machine learning technique adequate solve problem minor comment reference yet written published deleted paper dataset may scientific importance mainly descriptive,768,0.128,positive,1,-0.02291666666666667,0.44930555555555557,negative,-1
19,7,2,1,manuscript address interesting solution based machine learning technique classify spectrum legacy data hubble space telescope order publish result good spectrum internet scientific community manuscript wellwritten result robust experiment sound manuscript seems acceptable current form work short interesting infonor jcc community main problem paper difficult compare result classifier used confusion matrix parameter classifier could clarify result,449,0.7845,positive,1,0.22083333333333333,0.5041666666666667,positive,1
20,7,1,0,interesting application domain nothing new machine learning perspective author provide information model obtained different classifier feature subset selection used selected feature accurate statistical significance difference accurate model semisupervised classification appropriate method last paragraph methodology section,325,0.5859,positive,1,0.27662337662337666,0.483982683982684,positive,1
21,8,2,1,paper present tool save software architecture verification save performs static check rule associated permitted prohibited dependency element design code allows deliver report consistency two level respect said rule overall tool seems quite powerful two reason use simple rule inclusion predefined rule set wideuse design pattern view important difference similar framework wording place unobjective particular would suggest avoiding excessive use adjective evidence provided support example several place noticed use powerful tool intuitive tool like referring save work case explicit provision evidence support use adjective another detail requires fix title appears pdf file preaching behavior dynamic match paper title author probably used template previous paper title,773,0.9788,very positive,2,0.09615384615384617,0.4864468864468865,positive,1
22,8,1,0,verification architecture software product great contribution quality software therefore tool facilitates work contribution software engineering present evidence prior review alternative complementary method tool proposal description presented accompanied clarifying example role interaction domain expert unclear initial section say tool performs static dynamic analysis however end article identification possible improvement save proposed include dynamic analysis contradicts initial affirmation description operation tool clear enough quality figure adequate size resolution figure possible appreciate detail well article wording improved several phrase connector missing example section see save manages recover existing dependency source code many error accentuation word,777,0.9674,very positive,2,0.12708333333333333,0.35937499999999994,positive,1
23,9,2,1,new proposal highly valuable linking people business scope allows theory proposal software engineering tested real environment well structured well drafted suggest scheming activity white belt irsixsigma training app reviewing small drafting detail,248,0.7645,positive,1,0.04927272727272728,0.3389090909090909,positive,1
24,9,2,0,good practice better quality requirement engineeringin abstract theorythere case study better see application methodology,121,0.8271,positive,1,0.5666666666666667,0.5333333333333333,positive,1
25,10,2,0,interesting proposal software development environment quite poor methodological aspect development lack related work perhaps better discussion introduction reference substantiate interesting proposal review wording order infonor suggested add link web page text article,269,0.3832,positive,1,0.22000000000000003,0.5,positive,1
26,10,2,-1,author designed methodology develop software support scientific research project accurately identify difference development research software software commercial purpose also propose methodology following approach agile method software development proposal design phase elaborated interview potential user likely tested future research opinion article requires paragraph take account methodology author followed order reach proposal reference made interview participant type project however reported many people consulted interviewee selected instrument applied data analyzed,575,0.4215,positive,1,0.17500000000000002,0.5135416666666667,positive,1
27,10,-1,-1,consider first area development subject development software research environment grant permission carry development informally time relax version scarce documentation etc see scrum without making basic comparison classic exponent agile methodology xp fdd give certain light initial analysis author without doubt one could delve little especially xp,349,0.9157,very positive,2,0.11767857142857144,0.4479761904761904,positive,1
28,11,2,2,article present novel theme area software engineering article well documented wellfounded technology used development prototype current interest described article first step line research development prototype metacase application remains sense unclear current level maturity research application developed,306,0.6597,positive,1,0.06999999999999999,0.2866666666666667,positive,1
29,11,2,0,paper present software tool useful context software engineering author good job describing technical detail tool however little information novel aspect proposed tool proposal compare existing tool,197,0.7796,positive,1,0.1625,0.24000000000000005,positive,1
30,11,2,2,clear precise highlevel work,28,0.3818,positive,1,0.25,0.5916666666666667,positive,1
31,12,2,2,article present design prototype implement system acquisition data wireless mobile device applied mining specifically monitoring particulate matter application mobile technology particular problem chilean mining industry interesting well article describes problematic proposed prototype clearly article novel use computing data processing mobile device technology applied particular problem chilean mining industry problem technology presented bug proposed prototype clearly described application current mobile computing technology important industrial sector country relevant main title summary must written spanish english come spanish addition article present list reference reference one first list even appears pcfactory reference clear,742,0.6124,positive,1,0.146875,0.3302083333333333,positive,1
32,12,2,0,considers use mobile technology incorporate measurement particulate matter exists inside mine interesting see advantage disadvantage application existing one study result yet,174,0.25,positive,1,0.5,0.5,positive,1
33,13,-1,-1,appreciate extensive work valued however several inconsistency observed throughout work observed page figure indication conceptual model snowflake type however correct thing would indicate scheme logical design conceptual design dw addition correct conceptual scheme indicate type data also aspect reference star schema bibliography research conceptual model dw avoid lot redundancy technical problem importance article talk business intelligence strict sense apply business intelligence need expert analyst able make decision trend found study presented article related job reference missing book referenced review related work would useful sense structuring article better methodology schematize etl process would improved aspect described article,749,0.9442,very positive,2,0.135,0.2658333333333333,positive,1
34,13,-2,-1,article present process constructing data warehouse implement olap data exploitation marine resource coast chile problem clearly defined relevant practical application country work presented corresponds case complete well documented use well known data mining technique abstract must edited represent appropriate readable translation summary original contribution work evident original conclusion article related domain application statistic exploitation marine resource topic relevant conference missing information literature completed,537,0.6808,positive,1,0.20909090909090908,0.4803030303030303,positive,1
35,13,-2,-1,article present development solution problem analyzing trend landing marine specie chilean coastal edge using business intelligence tool aspect form english version title summary article contains grammatical editorial style error use capital letter chile chile national fishing service national kettle fishing service kettle table table api api etc figure referenced figure show figure show paragraph figure written column must column format fully match infonor format b substantive aspect article report research result application bi technique provide dataline analysis support weak term background process technique used although reference listed quoted repeatedly review related job bi application case given orientation article potential use result detailed sense must greater better interpretationevaluation user analysis information,839,0.6369,positive,1,0.128125,0.471875,positive,1
36,14,-1,0,present paper performs categorization way integrate business rule design using aspectoriented paradigm proposes template documentation business rule based categorization paper delivers useful information particular problem well reasonable categorization different aspect problem good starting point investigation line although information given paper utmost importance investigation matter insufficient accept complete selfcontained work reason paper focus identifying problem proposing artifact template solve problem however present evidence template good alternative solving problem requires element mentioned future work specifically formal specification automatic tool create template map aop suggestion wait item ready complete paper send new conference,759,0.8519,positive,1,0.18593073593073597,0.3366341991341991,positive,1
37,14,2,-1,work present viable alternative solving problem changing business rule improved adding background topic aspect since prior knowledge topic assumed paper selfcontained,166,0.4215,positive,1,0.0,0.0,positive,1
38,14,0,-1,work present methodology address complexity implementing business rule without making change base functionality system proposes clear methodology based documentation using template manage analyze impact performing implementation business rule via orientation aspect reason presented indicate oa approach encapsulate connection business rule base functionality trivial task general addressed greater depth provide formal evidence use proposed template specifically resolve problem suggested present problem solved mean tool development automatically handle template failing demonstrate application specific problem,613,-0.4019,negative,-1,-0.14027777777777778,0.4662037037037037,negative,-1
39,15,2,0,article present interesting diagnosis software development company chile incorporate initial statistical base give formality work done specifically determination base sample development survey however statistical data result part work presented presentation statistical result validate conclusion presented finding found diagnosis author recommended continue work order incorporate statistical base company sector country recommendation thorough review english particular presentation article translation language carefully reviewed particularly review title error first word,575,0.738,positive,1,-0.12878787878787878,0.5,negative,-1
