,level_0,confidence,evaluation,id,lan,orientation,remarks,text,timespan,translate_eng,length_translate_eng,clean_eng_text,length_clean_eng_text,Lemma_clean_eng_text
0,0,4.0,1,1,es,0,,"- El artículo aborda un problema contingente y muy relevante, e incluye tanto un diagnóstico nacional de uso de buenas prácticas como una solución (buenas prácticas concretas). - El lenguaje es adecuado.  - El artículo se siente como la concatenación de tres artículos diferentes: (1) resultados de una encuesta, (2) buenas prácticas de seguridad, (3) incorporación de buenas prácticas. - El orden de las secciones sería mejor si refleja este orden (la versión revisada es #2, #1, #3). - El artículo no tiene validación de ningún tipo, ni siquiera por evaluación de expertos.",2010-07-05,"-The article addresses a very relevant and contingent problem, and includes both a national diagnosis of the use of good practices and a solution (good concrete practices). -Language is right.  -The article feels like the concatenation of three different articles: (1) results of a survey, (2) good security practices, (3) incorporation of good practices. -The order of the sections would be better if it reflects this order (the revised version is #2, #1, #3). -The article has no validation of any kind, not even by expert evaluation.",536,article addresses relevant contingent problem includes national diagnosis use good practices solution good concrete practices language right article feels like concatenation three different articles results survey good security practices incorporation good practices order sections would better reflects order revised version article validation kind even expert evaluation,372,article address relevant contingent problem includes national diagnosis use good practice solution good concrete practice language right article feel like concatenation three different article result survey good security practice incorporation good practice order section would better reflects order revised version article validation kind even expert evaluation
1,0,4.0,1,2,es,1,,"El artículo presenta recomendaciones prácticas para el desarrollo de software seguro. Se describen las mejores prácticas recomendadas para desarrollar software que sea proactivo ante los ataques, y se realiza un análisis de costos de estas prácticas en desarrollo de software. Todo basado en una revisión de prácticas propuestas en la bibliografía y su contraste con datos obtenidos de una encuesta en empresas. Finalmente se recomienda una guía.  Sería ideal aplicar la guía propuesta a empresas no involucradas en la encuesta que sirvió para originarla de modo de poder evaluar su efectividad en forma independiente.",2010-07-05,"The article presents practical recommendations for the development of secure software. Best practices recommended for developing software that is proactive in the face of attacks are described, and a cost analysis of these software development practices is performed. All based on a review of practices proposed in the bibliography and its contrast with data obtained from a survey in companies. Finally a guide is recommended.  It would be ideal to apply the proposed guide to companies that were not involved in the survey, which was used to give them a way to evaluate their effectiveness independently.",606,article presents practical recommendations development secure software best practices recommended developing software proactive face attacks described cost analysis software development practices performed based review practices proposed bibliography contrast data obtained survey companies finally guide recommended would ideal apply proposed guide companies involved survey used give way evaluate effectiveness independently,426,article present practical recommendation development secure software best practice recommended developing software proactive face attack described cost analysis software development practice performed based review practice proposed bibliography contrast data obtained survey company finally guide recommended would ideal apply proposed guide company involved survey used give way evaluate effectiveness independently
2,0,5.0,1,3,es,1,,"- El tema es muy interesante y puede ser de mucha ayuda una guía para incorporar prácticas de seguridad. - La presentación (descripción, etapa y uso) de las 9 prácticas para el desarrollo de software seguro.  - El “estado real del desarrollo de software en Chile” (como lo indica en su paper) no se puede lograr con solamente 22 encuestas de un total de 50. - Presenta nueve tablas que corresponden a las prácticas para el desarrollo de software seguro, pero la guía presenta 10 prácticas. ¿explica por qué? - Sugiero mejorar la guía, el mayor aporte está en la secuencia de incorporación que propone.  Además, no debería explicar la práctica en Observaciones ni diferenciarla con otras prácticas en esa columna, sino que debería dar sugerencias de cómo aplicarla. - En el texto indica “Más adelante, se presentan además tres prácticas extras…” ¿cuáles son o no leí correctamente? - De acuerdo a formato, poner como mínimo 5 palabras clave. - Sugiero mencionar las prácticas antes de mostrar cada tabla. - Algunas referencias están incompletas, por ejemplo, falta año en referencia 17, falta año y tipo de evento en referencia 11, falta editorial en referencia 19 (¿es un libro?) - Algunos títulos llevan una coma dentro de las comillas, ejemplo, referencia 1",2010-07-05,"-The theme is very interesting and can be of much help a guide to incorporate safety practices. -The presentation (description, stage and use) of the 9 practices for the development of secure software.  -The ""real state of software development in Chile"" (as indicated in its paper) cannot be achieved with only 22 surveys out of a total of 50. -It presents nine tables corresponding to the practices for the development of secure software, but the guide presents 10 practices. Why? -I suggest improving the guide, the greatest contribution is in the sequence of incorporation that you propose.  Furthermore, you should not explain the practice in Observations or differentiate it with other practices in that column, but you should give suggestions on how to apply it. -In the text indicates ""Later, there are also three extra practices ..."" What are or did I not read correctly? -According to format, put at least 5 keywords. -I suggest mentioning the practices before showing each table. -Some references are incomplete, for example, missing year in reference 17, missing year and type of event in reference 11, editorial lack in reference 19 (is it a book?)-Some titles carry a comma within the quotation marks, example, reference 1",1235,theme interesting much help guide incorporate safety practices presentation description stage use practices development secure software real state software development chile indicated paper cannot achieved surveys total presents nine tables corresponding practices development secure software guide presents practices suggest improving guide greatest contribution sequence incorporation propose furthermore explain practice observations differentiate practices column give suggestions apply text indicates later also three extra practices read correctly according format put least keywords suggest mentioning practices showing table references incomplete example missing year reference missing year type event reference editorial lack reference booksome titles carry comma within quotation marks example reference,813,theme interesting much help guide incorporate safety practice presentation description stage use practice development secure software real state software development chile indicated paper cannot achieved survey total present nine table corresponding practice development secure software guide present practice suggest improving guide greatest contribution sequence incorporation propose furthermore explain practice observation differentiate practice column give suggestion apply text indicates later also three extra practice read correctly according format put least keywords suggest mentioning practice showing table reference incomplete example missing year reference missing year type event reference editorial lack reference booksome title carry comma within quotation mark example reference
3,1,4.0,2,1,es,1,,"Se explica en forma ordenada y didáctica una experiencia de uso de TIC para la colaboración académica.  La originalidad del trabajo no es su dimensión fuerte, ver trabajos de larga data como Gorton et al. (1997) y actuales como Lanunile et al. (2010). Sin embargo, la relevancia del tema como patrón de referencia en actividades relacionadas a tesis científicas, asociada a su buena presentación,  hacen de él un aporte.  Se sugiere, en miras a una publicación en revista, que se compare la eficiencia y efectividad de las actividades sin el apoyo de estas herramientas versus la actual realidad (con herramientas). Ejemplos de preguntas posibles a responder de este análisis exploratorio: ¿Cuáles son las principales actividades donde el uso de herramientas colaborativas es clave? ¿Qué cambios en el diseño de estas herramientas se deberían desarrollar en el futuro? ¿Existen perfiles de estudiantes/académicos más propicios para la adopción de estas plataformas?  Referencias:  Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaíno, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010.",2010-07-05,"An ICT use experience for academic collaboration is explained in an orderly and didactic way.  The originality of the work is not its strong dimension, seeing long-standing works like Gorton et al. (1997) and current as Lanunile et al. (2010). However, the relevance of the topic as a reference pattern in activities related to scientific theses, associated with its good presentation, make it a contribution.  It is suggested, in view of a journal publication, that the efficiency and effectiveness of the activities be compared without the support of these tools versus the current reality (with tools). Examples of possible questions to answer from this exploratory analysis: What are the main activities where the use of collaborative tools is key? What changes in the design of these tools should be developed in the future? Are there more conducive student/academic profiles for the adoption of these platforms?  References: Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaino, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010.",1300,ict use experience academic collaboration explained orderly didactic way originality work strong dimension seeing longstanding works like gorton et al current lanunile et al however relevance topic reference pattern activities related scientific theses associated good presentation make contribution suggested view journal publication efficiency effectiveness activities compared without support tools versus current reality tools examples possible questions answer exploratory analysis main activities use collaborative tools key changes design tools developed future conducive studentacademic profiles adoption platforms references gorton hawryszkiewycz ragoonaden k collaborative tools processes support software engineering shift work bt technology journal jul filippo lanubile christof ebert rafael prikladnicki aurora vizcaino collaboration tools global software engineering ieee software vol pp marapr,908,ict use experience academic collaboration explained orderly didactic way originality work strong dimension seeing longstanding work like gorton et al current lanunile et al however relevance topic reference pattern activity related scientific thesis associated good presentation make contribution suggested view journal publication efficiency effectiveness activity compared without support tool versus current reality tool example possible question answer exploratory analysis main activity use collaborative tool key change design tool developed future conducive studentacademic profile adoption platform reference gorton hawryszkiewycz ragoonaden k collaborative tool process support software engineering shift work bt technology journal jul filippo lanubile christof ebert rafael prikladnicki aurora vizcaino collaboration tool global software engineering ieee software vol pp marapr
4,1,4.0,2,3,es,0,,"Los autores describen una metodología para desarrollar, en forma colaborativa, tesis y memorias usando tecnologías que se usan habitualmente en desarrollo de software. Asimismo, describen herramientas concretas y sus bondades como, por ejemplo, Latex y Git. Finalmente, proponen un flujo de trabajo para el desarrollo de proyectos de esta naturaleza.  El valor principal del artículo radica en la aplicación de conocimientos que los estudiantes  ya dominan -es decir, técnicas y herramientas de desarrollo de software- a una problemática diferente como es el caso de las tesis y memorias. Todo ello, con el afán de hacer más eficiente el proceso.  1.- El énfasis del artículo está la solución sin hacer un análisis detallado del problema que se pretende resolver. En otras palabras, no hay respuestas a las siguientes preguntas:  a.- ¿cuál es exactamente el problema? b.- ¿qué impactos genera este problema? c.- ¿por qué es importante resolver el problema? d.- ¿qué soluciones se han implementado hasta la fecha? e.- ¿qué ventajas tiene la solución propuesta respecto de las anteriores?   2.- En mi opinión, el artículo debiera enfatizar más la metodología y el flujo de trabajo. Por ejemplo, añadir un diagrama -utilizando un lenguaje visual- que permita, por un lado, comprender el proceso general de desarrollo de tesis y, por otro, distinguir los roles, las actividades y las tecnologías asociadas en cada fase de la memoria.  3.- Se deben cuidar algunos aspectos del lenguaje y el rigor de ciertas afirmaciones como, por ejemplo: ""(dada la más bien atroz ortografía de que gozan los ingenieros)"". ¿Los autores disponen de algún respaldo empírico para respaldar esta afirmación? ¿Es necesario recurrir a un lenguaje tan prosaico para justificar la conveniencia de usar una determinada herramienta tecnológica? A propósito, recomiendo revisar las expresiones: ""no es publico"" (punto 3.1) y ""El tener acceso directamente..."" (punto 3.2)",2010-07-05,"The authors describe a methodology for developing, in collaborative form, theses and memories using technologies that are commonly used in software development. They also describe specific tools and their benefits, such as Latex and Git. Finally, they propose a workflow for the development of projects of this nature.  The main value of the article lies in the application of knowledge that students already dominate-that is, software development techniques and tools-to a different problem as is the case with theses and memories. All this, in order to make the process more efficient.  1.-The emphasis of the article is the solution without a detailed analysis of the problem to be solved. In other words, there are no answers to the following questions: a.-what exactly is the problem? b.-what impacts do this problem generate? c.-why is it important to solve the problem? d.-what solutions have been implemented to date? e.-what are the advantages of the proposed solution compared to previous ones?   2.-In my opinion, the article should emphasize more the methodology and the workflow. For example, add a diagram-using a visual language-that allows, on the one hand, to understand the general process of thesis development and, on the other, to distinguish the roles, activities and associated technologies in each phase of the memory.  3.-Some aspects of the language and the rigor of certain statements, such as: ""(given the rather atrocious spelling of the engineers), must be taken care of."" Do the authors have any empirical support to support this statement? Is it necessary to use such a prosaic language to justify the desirability of using a particular technological tool? By the way, I recommend reviewing the expressions: ""it is not public"" (point 3.1) and ""The access directly ..."" (point 3.2)",1812,authors describe methodology developing collaborative form theses memories using technologies commonly used software development also describe specific tools benefits latex git finally propose workflow development projects nature main value article lies application knowledge students already dominatethat software development techniques toolsto different problem case theses memories order make process efficient emphasis article solution without detailed analysis problem solved words answers following questions awhat exactly problem bwhat impacts problem generate cwhy important solve problem dwhat solutions implemented date ewhat advantages proposed solution compared previous ones opinion article emphasize methodology workflow example add diagramusing visual languagethat allows one hand understand general process thesis development distinguish roles activities associated technologies phase memory aspects language rigor certain statements given rather atrocious spelling engineers must taken care authors empirical support support statement necessary use prosaic language justify desirability using particular technological tool way recommend reviewing expressions public point access directly point,1210,author describe methodology developing collaborative form thesis memory using technology commonly used software development also describe specific tool benefit latex git finally propose workflow development project nature main value article lie application knowledge student already dominatethat software development technique toolsto different problem case thesis memory order make process efficient emphasis article solution without detailed analysis problem solved word answer following question awhat exactly problem bwhat impact problem generate cwhy important solve problem dwhat solution implemented date ewhat advantage proposed solution compared previous one opinion article emphasize methodology workflow example add diagramusing visual languagethat allows one hand understand general process thesis development distinguish role activity associated technology phase memory aspect language rigor certain statement given rather atrocious spelling engineer must taken care author empirical support support statement necessary use prosaic language justify desirability using particular technological tool way recommend reviewing expression public point access directly point
5,2,4.0,2,1,es,1,,"Este trabajo propone un nuevo enfoque basado en [25] para apoyar la recomendación de los RS mediante la evolución de los pesos de las características de los usuarios a través de dos enfoques de utilización de algoritmos genéticos. El trabajo parece técnicamente correcto y la propuesta presenta resultados robustos de acuerdo a lo presentado en el documento.  El documento posee una serie de errores al parecer tipográficos que inducen a confusión, donde se cambian los nombres de variables, abreviaciones o formato de presentación de variables  subíndices, etc. Por ejemplo: ecuación 2, función w, abreviación CF, figura 3, figura 6. El enfoque aparentemente utiliza solo una parte de la BD por motivos de eficiencia, sería bueno utilizar alguna técnica de indexado para apoyar este proceso.",2010-07-05,"This paper proposes a new approach based on [25] to support the recommendation of the RS through the evolution of the weights of user characteristics through two approaches to the use of genetic algorithms. The work appears technically correct and the proposal presents robust results as presented in the document.  The document has a series of errors that appear to cause confusion, where variable names, abbreviations or presentation format for variable sub-indices are changed, etc. For example: equation 2, function w, abbreviation CF, figure 3, figure 6. The approach apparently uses only a part of the BD for efficiency reasons, it would be good to use some indexing technique to support this process.",707,paper proposes new approach based support recommendation rs evolution weights user characteristics two approaches use genetic algorithms work appears technically correct proposal presents robust results presented document document series errors appear cause confusion variable names abbreviations presentation format variable subindices changed etc example equation function w abbreviation cf figure figure approach apparently uses part bd efficiency reasons would good use indexing technique support process,508,paper proposes new approach based support recommendation r evolution weight user characteristic two approach use genetic algorithm work appears technically correct proposal present robust result presented document document series error appear cause confusion variable name abbreviation presentation format variable subindices changed etc example equation function w abbreviation cf figure figure approach apparently us part bd efficiency reason would good use indexing technique support process
6,2,3.0,2,2,en,1,,"This paper aims to show new deployment alternative for recommender systems. To this end, the authors use two variations CHC genetic algorithm.  - It's a good job. - It is clear and very detailed.  - There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. - On the same point, the figure (3) refers to ""perfil"", ""pesos"", ""euclidiana"" and ""vecindad""; these words aren't related with the text. - I think that the results shown in graphs would be more useful if they are shown in tables.",2010-07-05,"This paper aims to show new deployment alternative for rewarding systems. To this end, the authors use two variations CHC genetic algorithm.  -It's a good job. -It is clear and very detailed.  -There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. -On the same point, the figure (3) refers to ""profile"", ""pesos"", ""euclidean"" and ""neighborhood""; these words aren't related with the text. -I think that the results shown in graphs would be more useful if they are shown in tables.",559,paper aims show new deployment alternative rewarding systems end authors use two variations chc genetic algorithm good job clear detailed inconsistencies notation improved formula notation different rest equations point figure refers profile pesos euclidean neighborhood words arent related text think results shown graphs would useful shown tables,348,paper aim show new deployment alternative rewarding system end author use two variation chc genetic algorithm good job clear detailed inconsistency notation improved formula notation different rest equation point figure refers profile peso euclidean neighborhood word arent related text think result shown graph would useful shown table
7,2,3.0,0,3,en,-1,,"The paper is well structured. It follows a logical sequence of sections.  The paper does not fix to the Infonor conference template.  The english grammar is poor. It makes the paper difficult to read and follow. Either:  a) rewrite the paper in spanish, or b) make the paper reviewed by a professional traslator  Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year.  Problems with equations, fonts, etc.  Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table.  Both, result analysis and conclusions, declare that GA CHC is better than Pearson´s correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing.",2010-07-05,"The paper is well structured. It follows a logical sequence of sections.  The paper does not fix to the Infonor conference template.  The english grammar is poor. It makes the paper difficult to read and follow. Either: a) rewrite the paper in spanish, or b) make the paper reviewed by a professional translator Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year.  Problems with equations, fonts, etc.  Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table.  Both, result analysis and conclusions, declare that GA CHC is better than Pearson's correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing.",828,paper well structured follows logical sequence sections paper fix infonor conference template english grammar poor makes paper difficult read follow either rewrite paper spanish b make paper reviewed professional translator references recent new work since references indicate year problems equations fonts etc figures referenceddiscussedexplained may better present figures table result analysis conclusions declare ga chc better pearsons correlation algorithm however analysis conclusion supported wide variety situations conditions therefore true validation work missing,573,paper well structured follows logical sequence section paper fix infonor conference template english grammar poor make paper difficult read follow either rewrite paper spanish b make paper reviewed professional translator reference recent new work since reference indicate year problem equation font etc figure referenceddiscussedexplained may better present figure table result analysis conclusion declare ga chc better pearsons correlation algorithm however analysis conclusion supported wide variety situation condition therefore true validation work missing
8,3,4.0,2,1,es,2,muy buen trabajo,Se realiza un trabajo de modelamiento de encriptación cuántica novedosa  No veo aspectos negativos,2010-07-05,A novel quantum encryption modelling work is performed I do not see negative aspects,84,novel quantum encryption modelling work performed see negative aspects,70,novel quantum encryption modelling work performed see negative aspect
9,3,2.0,-2,2,es,-1,,"Este paper involucra el desarrollo de una aplicación que simule el protocolo BB84, se aprecia un trabajo ordenado y sin duda la comprensión de algunos conceptos de la física cuántica que sustentan la criptografía cuántica como son el teorema de no-clonación y el principio de superposición y entrelazamiento es una labor que tiene sus méritos, además, se aprecia el uso de ingeniería de software en la construcción de la aplicación, lo cual es un aspecto muy positivo, pues generalmente cuando hay involucrado creación de software en áreas de conocimiento de frontera, se recurre al code-and-fix, con todas las desventajas que esto conlleva.  Yo creo que este manuscrito debería ser dirigido al área de criptografía y seguridad, en mi especialidad que es la computación en ambientes distribuidos no veo significativa relevancia y aporte del manuscrito, usar RMI según mi opinión no es una contribución per se, pues  RMI es fácil de usar si se maneja JAVA, sin embargo, no es interoperable ya que no soporta otros lenguajes de programación, además, los sistema basados en RMI a medida que crecen tienen un problema de rendimiento, mientras más crecen más lentos se tornan, por otro lado, según algunos puristas un sistema cliente/servidor no es un sistema distribuido, según otros el caso cliente/servidor es el caso más básico de computación distribuida, en fin, hablando estrictamente desde el área de computación distribuida no veo relevancia en esta área de este manuscrito, sin embargo, me parece que en otra área el paper podría ser pertinente, ya que es un trabajo ordenado, claro y bien escrito.  Yo no soy experto en el área de criptografía, pero hace unos años atrás en una oportunidad escuche en un seminario a un inglés hablar de criptografía cuántica y menciono una gran cantidad de simuladores y aplicaciones, incluso dijo tener aplicaciones que ya utilizaban criptografía cuántica entre varios kilómetros por medio de fibra óptica, entonces creo que lo mejor es evaluar este manuscrito en esa área y no en el área de grid/sistemas distribuidos, pues en esta área el paper según mi opinión no tiene aspectos originales, ya que usa aspectos triviales de los principios cliente/servidor.  Como ya lo he dicho anteriormente, el paper tiene más asuntos de física cuántica y criptografía que de computación distribuida, por lo cual abstrayéndome al área que me compete, veo el uso de una tecnología de ambiente distribuido usada como cliente/servidor, no interoperable y con restricciones de escalabilidad. Un aspecto positivo en el paper es que se aprecia el uso de ingeniería de software.  En lo que respecta al área de grid computing y sistemas distribuidos, el manuscrito no contiene aspectos relevantes, utiliza RMI para implementar un sistema cliente/servidor, sin obstante, RMI es fácil de usar y como buen paradigma conocido en computación, performance se contrapone con facilidad de usar, RMI no escapa a eso, porque es fácil de usar, pero no tiene escalabilidad.  El documento está bien presentado, quizás la tabla 2 y tabla 3 sería mejor fusionarlas utilizando filas como computador y en las columnas los detalles de la red, sobre todo si más que un esquema cliente/servidor se tiene por ejemplo, un anillo de distribución de claves cuánticas, con más de 2 computadores involucrados. Creo que presentado al área de criptografía y seguridad sería más pertinente.",2010-07-05,"This paper involves the development of an application that simulate the BB84 protocol, an orderly work is appreciated and without a doubt the understanding of some concepts of quantum physics that underpin quantum cryptography as are the non-cloning theorem and the principle of overlap and interlacing is a work that has its merits, in addition, the use of software engineering in the construction of the application is appreciated, which is a very positive aspect, since usually when there is involved software creation in areas of frontier knowledge, the code-and-fix is used, with all the disadvantages that this entails.  I believe that this manuscript should be directed to the area of cryptography and security, in my specialty that is computing in distributed environments I do not see significant relevance and input from the manuscript, using RMI according to my opinion is not a contribution per se, since RMI is easy to use if it is handled JAVA, however, it is not interoperable since it does not support other programming languages, besides, the system based on RMI as they grow have a problem of performance, while the more they grow slower become, on the other hand, according to some purists a client/server system is not a system distributed, according to others the case client/server is the most basic case of distributed computing, in short, speaking strictly from the area of distributed computing I do not see relevance in this area of this manuscript, however, it seems to me that in another area the paper could be relevant, since it is an orderly, clear and well written work.  I am not an expert in the area of cryptography, but a few years ago I heard in a seminar an English speaking of quantum cryptography and mentioned a lot of simulators and applications, even said to have applications that already used quantum cryptography among several kilometers by optical fiber, then I think it is best to evaluate this manuscript in that area and not in the area of grid/distributed systems, since in this area the paper according to my opinion has no original aspects, since it uses trivial aspects of the client/server principles.  As I have already said, paper has more issues of quantum physics and cryptography than distributed computing, so abstracting me to the area that I am responsible for, I see the use of a distributed environment technology used as a client/server, not interoperable and with scalability restrictions. One positive aspect in the paper is that you appreciate the use of software engineering.  Regarding the area of grid computing and distributed systems, the manuscript does not contain relevant aspects, uses RMI to implement a client/server system, however, RMI is easy to use and as a good paradigm known in computing, performance is counterposed with ease of use, RMI does not escape that, because it is easy to use, but it has no scalability.  The document is well presented, perhaps Table 2 and Table 3 would be better to merge using rows as a computer and in the columns the details of the network, especially if more than a client/server scheme is for example, a ring of distribution of quantum keys, with more than 2 computers involved. I believe that presented to the area of cryptography and security would be more pertinent.",3290,paper involves development application simulate protocol orderly work appreciated without doubt understanding concepts quantum physics underpin quantum cryptography noncloning theorem principle overlap interlacing work merits addition use software engineering construction application appreciated positive aspect since usually involved software creation areas frontier knowledge codeandfix used disadvantages entails believe manuscript directed area cryptography security specialty computing distributed environments see significant relevance input manuscript using rmi according opinion contribution per se since rmi easy use handled java however interoperable since support programming languages besides system based rmi grow problem performance grow slower become hand according purists clientserver system system distributed according others case clientserver basic case distributed computing short speaking strictly area distributed computing see relevance area manuscript however seems another area paper could relevant since orderly clear well written work expert area cryptography years ago heard seminar english speaking quantum cryptography mentioned lot simulators applications even said applications already used quantum cryptography among several kilometers optical fiber think best evaluate manuscript area area griddistributed systems since area paper according opinion original aspects since uses trivial aspects clientserver principles already said paper issues quantum physics cryptography distributed computing abstracting area responsible see use distributed environment technology used clientserver interoperable scalability restrictions one positive aspect paper appreciate use software engineering regarding area grid computing distributed systems manuscript contain relevant aspects uses rmi implement clientserver system however rmi easy use good paradigm known computing performance counterposed ease use rmi escape easy use scalability document well presented perhaps table table would better merge using rows computer columns details network especially clientserver scheme example ring distribution quantum keys computers involved believe presented area cryptography security would pertinent,2219,paper involves development application simulate protocol orderly work appreciated without doubt understanding concept quantum physic underpin quantum cryptography noncloning theorem principle overlap interlacing work merit addition use software engineering construction application appreciated positive aspect since usually involved software creation area frontier knowledge codeandfix used disadvantage entail believe manuscript directed area cryptography security specialty computing distributed environment see significant relevance input manuscript using rmi according opinion contribution per se since rmi easy use handled java however interoperable since support programming language besides system based rmi grow problem performance grow slower become hand according purist clientserver system system distributed according others case clientserver basic case distributed computing short speaking strictly area distributed computing see relevance area manuscript however seems another area paper could relevant since orderly clear well written work expert area cryptography year ago heard seminar english speaking quantum cryptography mentioned lot simulator application even said application already used quantum cryptography among several kilometer optical fiber think best evaluate manuscript area area griddistributed system since area paper according opinion original aspect since us trivial aspect clientserver principle already said paper issue quantum physic cryptography distributed computing abstracting area responsible see use distributed environment technology used clientserver interoperable scalability restriction one positive aspect paper appreciate use software engineering regarding area grid computing distributed system manuscript contain relevant aspect us rmi implement clientserver system however rmi easy use good paradigm known computing performance counterposed ease use rmi escape easy use scalability document well presented perhaps table table would better merge using row computer column detail network especially clientserver scheme example ring distribution quantum key computer involved believe presented area cryptography security would pertinent
