,level_0,translate_eng
0,0,"-The article addresses a very relevant and contingent problem, and includes both a national diagnosis of the use of good practices and a solution (good concrete practices). -Language is right.  -The article feels like the concatenation of three different articles: (1) results of a survey, (2) good security practices, (3) incorporation of good practices. -The order of the sections would be better if it reflects this order (the revised version is #2, #1, #3). -The article has no validation of any kind, not even by expert evaluation."
1,0,"The article presents practical recommendations for the development of secure software. Best practices recommended for developing software that is proactive in the face of attacks are described, and a cost analysis of these software development practices is performed. All based on a review of practices proposed in the bibliography and its contrast with data obtained from a survey in companies. Finally a guide is recommended.  It would be ideal to apply the proposed guide to companies that were not involved in the survey, which was used to give them a way to evaluate their effectiveness independently."
2,0,"-The theme is very interesting and can be of much help a guide to incorporate safety practices. -The presentation (description, stage and use) of the 9 practices for the development of secure software.  -The ""real state of software development in Chile"" (as indicated in its paper) cannot be achieved with only 22 surveys out of a total of 50. -It presents nine tables corresponding to the practices for the development of secure software, but the guide presents 10 practices. Why? -I suggest improving the guide, the greatest contribution is in the sequence of incorporation that you propose.  Furthermore, you should not explain the practice in Observations or differentiate it with other practices in that column, but you should give suggestions on how to apply it. -In the text indicates ""Later, there are also three extra practices ..."" What are or did I not read correctly? -According to format, put at least 5 keywords. -I suggest mentioning the practices before showing each table. -Some references are incomplete, for example, missing year in reference 17, missing year and type of event in reference 11, editorial lack in reference 19 (is it a book?)-Some titles carry a comma within the quotation marks, example, reference 1"
3,1,"An ICT use experience for academic collaboration is explained in an orderly and didactic way.  The originality of the work is not its strong dimension, seeing long-standing works like Gorton et al. (1997) and current as Lanunile et al. (2010). However, the relevance of the topic as a reference pattern in activities related to scientific theses, associated with its good presentation, make it a contribution.  It is suggested, in view of a journal publication, that the efficiency and effectiveness of the activities be compared without the support of these tools versus the current reality (with tools). Examples of possible questions to answer from this exploratory analysis: What are the main activities where the use of collaborative tools is key? What changes in the design of these tools should be developed in the future? Are there more conducive student/academic profiles for the adoption of these platforms?  References: Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaino, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010."
4,1,"The authors describe a methodology for developing, in collaborative form, theses and memories using technologies that are commonly used in software development. They also describe specific tools and their benefits, such as Latex and Git. Finally, they propose a workflow for the development of projects of this nature.  The main value of the article lies in the application of knowledge that students already dominate-that is, software development techniques and tools-to a different problem as is the case with theses and memories. All this, in order to make the process more efficient.  1.-The emphasis of the article is the solution without a detailed analysis of the problem to be solved. In other words, there are no answers to the following questions: a.-what exactly is the problem? b.-what impacts do this problem generate? c.-why is it important to solve the problem? d.-what solutions have been implemented to date? e.-what are the advantages of the proposed solution compared to previous ones?   2.-In my opinion, the article should emphasize more the methodology and the workflow. For example, add a diagram-using a visual language-that allows, on the one hand, to understand the general process of thesis development and, on the other, to distinguish the roles, activities and associated technologies in each phase of the memory.  3.-Some aspects of the language and the rigor of certain statements, such as: ""(given the rather atrocious spelling of the engineers), must be taken care of."" Do the authors have any empirical support to support this statement? Is it necessary to use such a prosaic language to justify the desirability of using a particular technological tool? By the way, I recommend reviewing the expressions: ""it is not public"" (point 3.1) and ""The access directly ..."" (point 3.2)"
5,2,"This paper proposes a new approach based on [25] to support the recommendation of the RS through the evolution of the weights of user characteristics through two approaches to the use of genetic algorithms. The work appears technically correct and the proposal presents robust results as presented in the document.  The document has a series of errors that appear to cause confusion, where variable names, abbreviations or presentation format for variable sub-indices are changed, etc. For example: equation 2, function w, abbreviation CF, figure 3, figure 6. The approach apparently uses only a part of the BD for efficiency reasons, it would be good to use some indexing technique to support this process."
6,2,"This paper aims to show new deployment alternative for rewarding systems. To this end, the authors use two variations CHC genetic algorithm.  -It's a good job. -It is clear and very detailed.  -There are inconsistencies in the notation should be improved. The formula (7) has a notation different from the rest of the equations. -On the same point, the figure (3) refers to ""profile"", ""pesos"", ""euclidean"" and ""neighborhood""; these words aren't related with the text. -I think that the results shown in graphs would be more useful if they are shown in tables."
7,2,"The paper is well structured. It follows a logical sequence of sections.  The paper does not fix to the Infonor conference template.  The english grammar is poor. It makes the paper difficult to read and follow. Either: a) rewrite the paper in spanish, or b) make the paper reviewed by a professional translator Most of the references are not recent (2005-2010). No new work since 2003? Some references do not indicate year.  Problems with equations, fonts, etc.  Figures 5-17 are not referenced/discussed/explained. It may be better to present these figures as a table.  Both, result analysis and conclusions, declare that GA CHC is better than Pearson's correlation Algorithm. However, this analysis and conclusion is not supported for a wide variety of situations and conditions. Therefore, a true validation work is missing."
8,3,A novel quantum encryption modelling work is performed I do not see negative aspects
9,3,"This paper involves the development of an application that simulate the BB84 protocol, an orderly work is appreciated and without a doubt the understanding of some concepts of quantum physics that underpin quantum cryptography as are the non-cloning theorem and the principle of overlap and interlacing is a work that has its merits, in addition, the use of software engineering in the construction of the application is appreciated, which is a very positive aspect, since usually when there is involved software creation in areas of frontier knowledge, the code-and-fix is used, with all the disadvantages that this entails.  I believe that this manuscript should be directed to the area of cryptography and security, in my specialty that is computing in distributed environments I do not see significant relevance and input from the manuscript, using RMI according to my opinion is not a contribution per se, since RMI is easy to use if it is handled JAVA, however, it is not interoperable since it does not support other programming languages, besides, the system based on RMI as they grow have a problem of performance, while the more they grow slower become, on the other hand, according to some purists a client/server system is not a system distributed, according to others the case client/server is the most basic case of distributed computing, in short, speaking strictly from the area of distributed computing I do not see relevance in this area of this manuscript, however, it seems to me that in another area the paper could be relevant, since it is an orderly, clear and well written work.  I am not an expert in the area of cryptography, but a few years ago I heard in a seminar an English speaking of quantum cryptography and mentioned a lot of simulators and applications, even said to have applications that already used quantum cryptography among several kilometers by optical fiber, then I think it is best to evaluate this manuscript in that area and not in the area of grid/distributed systems, since in this area the paper according to my opinion has no original aspects, since it uses trivial aspects of the client/server principles.  As I have already said, paper has more issues of quantum physics and cryptography than distributed computing, so abstracting me to the area that I am responsible for, I see the use of a distributed environment technology used as a client/server, not interoperable and with scalability restrictions. One positive aspect in the paper is that you appreciate the use of software engineering.  Regarding the area of grid computing and distributed systems, the manuscript does not contain relevant aspects, uses RMI to implement a client/server system, however, RMI is easy to use and as a good paradigm known in computing, performance is counterposed with ease of use, RMI does not escape that, because it is easy to use, but it has no scalability.  The document is well presented, perhaps Table 2 and Table 3 would be better to merge using rows as a computer and in the columns the details of the network, especially if more than a client/server scheme is for example, a ring of distribution of quantum keys, with more than 2 computers involved. I believe that presented to the area of cryptography and security would be more pertinent."
