,level_0,confidence,evaluation,id,lan,orientation,remarks,text,timespan,length,new_text,Lemma_text,Lemma_length
0,0,4,1,1,es,0,,"- El artículo aborda un problema contingente y muy relevante, e incluye tanto un diagnóstico nacional de uso de buenas prácticas como una solución (buenas prácticas concretas). - El lenguaje es adecuado.  - El artículo se siente como la concatenación de tres artículos diferentes: (1) resultados de una encuesta, (2) buenas prácticas de seguridad, (3) incorporación de buenas prácticas. - El orden de las secciones sería mejor si refleja este orden (la versión revisada es #2, #1, #3). - El artículo no tiene validación de ningún tipo, ni siquiera por evaluación de expertos.",2010-07-05,575,artículo aborda problema contingente y relevante e incluye diagnóstico nacional prácticas solución prácticas concretas lenguaje adecuado artículo siente concatenación artículos resultados encuesta prácticas seguridad incorporación prácticas orden secciones refleja orden versión revisada artículo validación tipo siquiera evaluación expertos,artículo abordo problema contingente y relevante e incluir diagnóstico nacional práctico solución práctico concreto lenguaje adecuado artículo sentir concatenación artículo resultado encuesta práctico seguridad incorporación práctico ordir sección reflejo orden versión revisado artículo validación tipo siquiera evaluación experto,331
1,0,4,1,2,es,1,,"El artículo presenta recomendaciones prácticas para el desarrollo de software seguro. Se describen las mejores prácticas recomendadas para desarrollar software que sea proactivo ante los ataques, y se realiza un análisis de costos de estas prácticas en desarrollo de software. Todo basado en una revisión de prácticas propuestas en la bibliografía y su contraste con datos obtenidos de una encuesta en empresas. Finalmente se recomienda una guía.  Sería ideal aplicar la guía propuesta a empresas no involucradas en la encuesta que sirvió para originarla de modo de poder evaluar su efectividad en forma independiente.",2010-07-05,618,artículo presenta recomendaciones prácticas desarrollo software seguro describen mejores prácticas recomendadas desarrollar software proactivo ataques y realiza análisis costos prácticas desarrollo software basado revisión prácticas propuestas bibliografía y contraste datos obtenidos encuesta empresas finalmente recomienda guía ideal aplicar guía propuesta empresas involucradas encuesta sirvió originarla evaluar efectividad forma independiente,artículo presentar recomendación práctico desarrollo software seguro describir mejor práctica recomendado desarrollar software proactivo ataque y realizar análisis costo práctico desarrollo software basado revisión práctico propuesto bibliografío y contraste dato obtenido encuesta empresa finalmente recomendar guía ideal aplicar guía propuesto empresa involucrado encuesta servir originar él evaluar efectividad forma independiente,433
2,0,5,1,3,es,1,,"- El tema es muy interesante y puede ser de mucha ayuda una guía para incorporar prácticas de seguridad. - La presentación (descripción, etapa y uso) de las 9 prácticas para el desarrollo de software seguro.  - El “estado real del desarrollo de software en Chile” (como lo indica en su paper) no se puede lograr con solamente 22 encuestas de un total de 50. - Presenta nueve tablas que corresponden a las prácticas para el desarrollo de software seguro, pero la guía presenta 10 prácticas. ¿explica por qué? - Sugiero mejorar la guía, el mayor aporte está en la secuencia de incorporación que propone.  Además, no debería explicar la práctica en Observaciones ni diferenciarla con otras prácticas en esa columna, sino que debería dar sugerencias de cómo aplicarla. - En el texto indica “Más adelante, se presentan además tres prácticas extras…” ¿cuáles son o no leí correctamente? - De acuerdo a formato, poner como mínimo 5 palabras clave. - Sugiero mencionar las prácticas antes de mostrar cada tabla. - Algunas referencias están incompletas, por ejemplo, falta año en referencia 17, falta año y tipo de evento en referencia 11, falta editorial en referencia 19 (¿es un libro?) - Algunos títulos llevan una coma dentro de las comillas, ejemplo, referencia 1",2010-07-05,1259,tema interesante y ayuda guía incorporar prácticas seguridad presentación descripción etapa y prácticas desarrollo software seguro “estado real desarrollo software chile” indica paper lograr encuestas presenta nueve tablas corresponden prácticas desarrollo software seguro guía presenta prácticas explica sugiero mejorar guía aporte secuencia incorporación propone debería explicar práctica observaciones diferenciarla prácticas columna debería sugerencias aplicarla texto indica “más presentan prácticas extras…” leí correctamente formato mínimo palabras clave sugiero mencionar prácticas mostrar tabla referencias incompletas falta año referencia falta año y tipo evento referencia falta editorial referencia libro títulos llevan coma comillas referencia,tema interesante y ayuda guío incorporar práctica seguridad presentación descripción etapa y práctica desarrollo software seguro “ estado real desarrollo software chile ” indicar paper lograr encuesta presentar nueve tabla corresponder práctica desarrollo software seguro guía presentar práctica explicar sugiero mejorar guía aporte secuencia incorporación proponer deber explicar práctico observación diferenciar él práctica columno deber sugerencia aplicar él texto indicar “ más presentar práctica extra … ” leer correctamente formato mínimo palabra clave sugiero mencionar práctica mostrar tabla referencia incompleto faltar año referencia faltar año y tipo evento referencia faltar editorial referencia libro título llevar coma comillos referencia,752
3,1,4,2,1,es,1,,"Se explica en forma ordenada y didáctica una experiencia de uso de TIC para la colaboración académica.  La originalidad del trabajo no es su dimensión fuerte, ver trabajos de larga data como Gorton et al. (1997) y actuales como Lanunile et al. (2010). Sin embargo, la relevancia del tema como patrón de referencia en actividades relacionadas a tesis científicas, asociada a su buena presentación,  hacen de él un aporte.  Se sugiere, en miras a una publicación en revista, que se compare la eficiencia y efectividad de las actividades sin el apoyo de estas herramientas versus la actual realidad (con herramientas). Ejemplos de preguntas posibles a responder de este análisis exploratorio: ¿Cuáles son las principales actividades donde el uso de herramientas colaborativas es clave? ¿Qué cambios en el diseño de estas herramientas se deberían desarrollar en el futuro? ¿Existen perfiles de estudiantes/académicos más propicios para la adopción de estas plataformas?  Referencias:  Gorton, I., Hawryszkiewycz, I., and Ragoonaden, K. 1997. Collaborative tools and processes to support software engineering shift work. BT Technology Journal 15, 3 (Jul. 1997), 189-198. Filippo Lanubile, Christof Ebert, Rafael Prikladnicki, Aurora Vizcaíno, ""Collaboration Tools for Global Software Engineering,"" IEEE Software, vol. 27, no. 2, pp. 52-55, Mar./Apr. 2010.",2010-07-05,1350,explica forma ordenada y didáctica experiencia tic colaboración académica originalidad dimensión fuerte trabajos larga data gorton et y actuales lanunile et relevancia tema patrón referencia actividades relacionadas tesis científicas asociada presentación aporte sugiere miras publicación revista compare eficiencia y efectividad actividades apoyo herramientas versus actual realidad herramientas ejemplos preguntas posibles responder análisis exploratorio principales actividades herramientas colaborativas clave cambios diseño herramientas deberían desarrollar futuro perfiles estudiantesacadémicos propicios adopción plataformas referencias gorton i hawryszkiewycz i and ragoonaden k collaborative tools and processes to support software engineering shift work bt technology journal jul filippo lanubile christof ebert rafael prikladnicki aurora vizcaíno collaboration tools for global software engineering ieee software vol pp marapr,explicar forma ordenado y didáctico experiencia tic colaboración académico originalidad dimensión fuerte trabajo largo datar gorton et y actual lanunilar et relevancia tema patrón referencia actividad relacionado tesis científico asociado presentación aportar sugerir mira publicación revista compare eficiencia y efectividad actividad apoyo herramienta versus  actual realidad herramienta ejemp él pregunta posible responder análisi exploratorio principal actividad herramienta colaborativa clave cambio diseño herramienta deber desarrollar futuro perfil estudiantesacadémico propicio adopción plataforma referencia gorton i hawryszkiewycz i and ragoonadir k collaborative tools and processes to support software engineering shift work bt technology journal jul filippo lanubile christof ebert rafael prikladnicki aurora vizcaíno collaboration tools for global software engineering ieeir software vol pp marapr,911
4,1,4,2,3,es,0,,"Los autores describen una metodología para desarrollar, en forma colaborativa, tesis y memorias usando tecnologías que se usan habitualmente en desarrollo de software. Asimismo, describen herramientas concretas y sus bondades como, por ejemplo, Latex y Git. Finalmente, proponen un flujo de trabajo para el desarrollo de proyectos de esta naturaleza.  El valor principal del artículo radica en la aplicación de conocimientos que los estudiantes  ya dominan -es decir, técnicas y herramientas de desarrollo de software- a una problemática diferente como es el caso de las tesis y memorias. Todo ello, con el afán de hacer más eficiente el proceso.  1.- El énfasis del artículo está la solución sin hacer un análisis detallado del problema que se pretende resolver. En otras palabras, no hay respuestas a las siguientes preguntas:  a.- ¿cuál es exactamente el problema? b.- ¿qué impactos genera este problema? c.- ¿por qué es importante resolver el problema? d.- ¿qué soluciones se han implementado hasta la fecha? e.- ¿qué ventajas tiene la solución propuesta respecto de las anteriores?   2.- En mi opinión, el artículo debiera enfatizar más la metodología y el flujo de trabajo. Por ejemplo, añadir un diagrama -utilizando un lenguaje visual- que permita, por un lado, comprender el proceso general de desarrollo de tesis y, por otro, distinguir los roles, las actividades y las tecnologías asociadas en cada fase de la memoria.  3.- Se deben cuidar algunos aspectos del lenguaje y el rigor de ciertas afirmaciones como, por ejemplo: ""(dada la más bien atroz ortografía de que gozan los ingenieros)"". ¿Los autores disponen de algún respaldo empírico para respaldar esta afirmación? ¿Es necesario recurrir a un lenguaje tan prosaico para justificar la conveniencia de usar una determinada herramienta tecnológica? A propósito, recomiendo revisar las expresiones: ""no es publico"" (punto 3.1) y ""El tener acceso directamente..."" (punto 3.2)",2010-07-05,1938,autores describen metodología desarrollar forma colaborativa tesis y memorias usando tecnologías habitualmente desarrollo software asimismo describen herramientas concretas y bondades latex y git finalmente proponen flujo desarrollo proyectos naturaleza principal artículo radica aplicación conocimientos estudiantes dominan técnicas y herramientas desarrollo software problemática caso tesis y memorias afán eficiente proceso énfasis artículo solución análisis detallado problema pretende resolver palabras respuestas siguientes preguntas exactamente problema b impactos genera problema c importante resolver problema d soluciones implementado fecha e ventajas solución propuesta anteriores opinión artículo debiera enfatizar metodología y flujo añadir diagrama utilizando lenguaje visual permita comprender proceso desarrollo tesis y distinguir roles actividades y tecnologías asociadas fase memoria cuidar aspectos lenguaje y rigor afirmaciones dada atroz ortografía gozan ingenieros autores disponen respaldo empírico respaldar afirmación necesario recurrir lenguaje prosaico justificar conveniencia determinada herramienta tecnológica propósito recomiendo revisar expresiones publico punto y acceso directamente punto,autor describir metodología desarrollar forma colaborativo tesis y memoria usar tecnología habitualmente desarrollo software asimismo describir herramienta concreto y bondad latex y git finalmente proponer flujo desarrollo proyecto naturaleza principal artículo radicar aplicación conocimiento estudiant dominar técnica y herramienta desarrollo software problemática caso tesis y memoria afán eficiente proceso énfasis artículo solución análisi detallado problema pretender resolver palabra respuesta siguiente pregunta exactamente problema b impacto generar problema c importante resolver problema d solución implementado fecha e ventaja solución propuesto anterior opinión artículo deber enfatizar metodología y flujo añadir diagrama utilizar lenguaje visual permitir comprender proceso desarrollo tesis y distinguir rol actividad y tecnología asociado fase memorio cuidar aspecto lenguaje y rigor afirmación dado atroz ortografía gozar ingeniero autor disponer respaldo empírico respaldar afirmación necesario recurrir lenguaje prosaico justificar conveniencia determinado herramienta tecnológico propósito recomeir revisar expresión publico punto y acceso directamente punto,1178
5,2,4,2,1,es,1,,"Este trabajo propone un nuevo enfoque basado en [25] para apoyar la recomendación de los RS mediante la evolución de los pesos de las características de los usuarios a través de dos enfoques de utilización de algoritmos genéticos. El trabajo parece técnicamente correcto y la propuesta presenta resultados robustos de acuerdo a lo presentado en el documento.  El documento posee una serie de errores al parecer tipográficos que inducen a confusión, donde se cambian los nombres de variables, abreviaciones o formato de presentación de variables  subíndices, etc. Por ejemplo: ecuación 2, función w, abreviación CF, figura 3, figura 6. El enfoque aparentemente utiliza solo una parte de la BD por motivos de eficiencia, sería bueno utilizar alguna técnica de indexado para apoyar este proceso.",2010-07-05,792,propone enfoque basado apoyar recomendación rs evolución pesos características usuarios enfoques utilización algoritmos genéticos técnicamente correcto y propuesta presenta resultados robustos presentado documento documento posee serie errores parecer tipográficos inducen confusión cambian nombres variables abreviaciones formato presentación variables subíndices etc ecuación función w abreviación cf figura figura enfoque aparentemente utiliza bd motivos eficiencia utilizar técnica indexado apoyar proceso,proponer enfocar basado apoyar recomendación rs evolución pesos característica usuario enfoque utilización algoritmos genético técnicamente correcto y propuesta presentar resultado robusto presentado documento documento poseer serie error parecer tipográfico inducir confusión cambiar nombre variable abreviación formato presentación variable subíndiz etc ecuación función w abreviación cf figura figura enfocar aparentemente utilizar bd motivo eficienciar utilizar técnica indexado apoyar proceso,497
8,3,4,2,1,es,2,muy buen trabajo,Se realiza un trabajo de modelamiento de encriptación cuántica novedosa  No veo aspectos negativos,2010-07-05,98,realiza modelamiento encriptación cuántica novedosa veo aspectos negativos,realizar modelamiento encriptación cuánticar novedoso ver aspecto negativo,74
9,3,2,-2,2,es,-1,,"Este paper involucra el desarrollo de una aplicación que simule el protocolo BB84, se aprecia un trabajo ordenado y sin duda la comprensión de algunos conceptos de la física cuántica que sustentan la criptografía cuántica como son el teorema de no-clonación y el principio de superposición y entrelazamiento es una labor que tiene sus méritos, además, se aprecia el uso de ingeniería de software en la construcción de la aplicación, lo cual es un aspecto muy positivo, pues generalmente cuando hay involucrado creación de software en áreas de conocimiento de frontera, se recurre al code-and-fix, con todas las desventajas que esto conlleva.  Yo creo que este manuscrito debería ser dirigido al área de criptografía y seguridad, en mi especialidad que es la computación en ambientes distribuidos no veo significativa relevancia y aporte del manuscrito, usar RMI según mi opinión no es una contribución per se, pues  RMI es fácil de usar si se maneja JAVA, sin embargo, no es interoperable ya que no soporta otros lenguajes de programación, además, los sistema basados en RMI a medida que crecen tienen un problema de rendimiento, mientras más crecen más lentos se tornan, por otro lado, según algunos puristas un sistema cliente/servidor no es un sistema distribuido, según otros el caso cliente/servidor es el caso más básico de computación distribuida, en fin, hablando estrictamente desde el área de computación distribuida no veo relevancia en esta área de este manuscrito, sin embargo, me parece que en otra área el paper podría ser pertinente, ya que es un trabajo ordenado, claro y bien escrito.  Yo no soy experto en el área de criptografía, pero hace unos años atrás en una oportunidad escuche en un seminario a un inglés hablar de criptografía cuántica y menciono una gran cantidad de simuladores y aplicaciones, incluso dijo tener aplicaciones que ya utilizaban criptografía cuántica entre varios kilómetros por medio de fibra óptica, entonces creo que lo mejor es evaluar este manuscrito en esa área y no en el área de grid/sistemas distribuidos, pues en esta área el paper según mi opinión no tiene aspectos originales, ya que usa aspectos triviales de los principios cliente/servidor.  Como ya lo he dicho anteriormente, el paper tiene más asuntos de física cuántica y criptografía que de computación distribuida, por lo cual abstrayéndome al área que me compete, veo el uso de una tecnología de ambiente distribuido usada como cliente/servidor, no interoperable y con restricciones de escalabilidad. Un aspecto positivo en el paper es que se aprecia el uso de ingeniería de software.  En lo que respecta al área de grid computing y sistemas distribuidos, el manuscrito no contiene aspectos relevantes, utiliza RMI para implementar un sistema cliente/servidor, sin obstante, RMI es fácil de usar y como buen paradigma conocido en computación, performance se contrapone con facilidad de usar, RMI no escapa a eso, porque es fácil de usar, pero no tiene escalabilidad.  El documento está bien presentado, quizás la tabla 2 y tabla 3 sería mejor fusionarlas utilizando filas como computador y en las columnas los detalles de la red, sobre todo si más que un esquema cliente/servidor se tiene por ejemplo, un anillo de distribución de claves cuánticas, con más de 2 computadores involucrados. Creo que presentado al área de criptografía y seguridad sería más pertinente.",2010-07-05,3380,paper involucra desarrollo aplicación simule protocolo aprecia ordenado y duda comprensión conceptos física cuántica sustentan criptografía cuántica teorema noclonación y principio superposición y entrelazamiento labor méritos aprecia ingeniería software construcción aplicación aspecto positivo generalmente involucrado creación software áreas conocimiento frontera recurre codeandfix desventajas conlleva manuscrito debería dirigido área criptografía y seguridad especialidad computación ambientes distribuidos veo significativa relevancia y aporte manuscrito rmi opinión contribución per rmi fácil maneja java interoperable soporta lenguajes programación sistema basados rmi medida crecen problema rendimiento crecen lentos tornan puristas sistema clienteservidor sistema distribuido caso clienteservidor caso básico computación distribuida hablando estrictamente área computación distribuida veo relevancia área manuscrito área paper pertinente ordenado y escrito experto área criptografía años atrás oportunidad escuche seminario inglés hablar criptografía cuántica y menciono cantidad simuladores y aplicaciones aplicaciones utilizaban criptografía cuántica kilómetros fibra óptica evaluar manuscrito área y área gridsistemas distribuidos área paper opinión aspectos originales aspectos triviales principios clienteservidor anteriormente paper asuntos física cuántica y criptografía computación distribuida abstrayéndome área compete veo tecnología ambiente distribuido usada clienteservidor interoperable y restricciones escalabilidad aspecto positivo paper aprecia ingeniería software respecta área grid computing y sistemas distribuidos manuscrito contiene aspectos relevantes utiliza rmi implementar sistema clienteservidor obstante rmi fácil y paradigma conocido computación performance contrapone facilidad rmi escapa fácil escalabilidad documento presentado tabla y tabla fusionarlas utilizando filas computador y columnas detalles red esquema clienteservidor anillo distribución claves cuánticas computadores involucrados presentado área criptografía y seguridad pertinente,paper involucra desarrollo aplicación simule protocolo apreciar ordenado y dudo comprensión concepto físico cuántico sustentar criptografía cuántico teoremo noclonación y principio superposición y entrelazamiento labor mérito apreciar ingeniería software construcción aplicación aspecto positivo generalmente involucrado creación software área conocimiento frontero recurrir codeandfix desventaja conllevar manuscrito deber dirigir área criptografío y seguridad especialidad computación ambiente distribuido ver significativo relevancia y aporte manuscrito rmi opinión contribución per rmi fácil manejar java interoperable soportar lenguaje programación sistema basado rmi medido crecer problema rendimiento crecer lento tornar purista sistema clienteservidor sistema distribuido caso clienteservidor caso básico computación distribuido hablar estrictamente área computación distribuido ver relevancia área manuscrito área paper pertinente ordenado y escrito experto área criptografíar año atrás oportunidad escuche seminario inglés hablar criptografía cuántico y menciono cantidad simulador y aplicación aplicación utilizar criptografía cuántico kilómetro fibro óptico evaluar manuscrito área y área gridsistemos distribuido área paper opinión aspecto original aspecto trivial principio clienteservidor anteriormente paper asunto físico cuántico y criptografía computación distribuido abstrayéndome área compete ver tecnología ambiente distribuido usado clienteservidor interoperable y restricción escalabilidad aspecto positivo paper apreciar ingeniería software respecta área grid computing y sistema distribuido manuscrito contener aspecto relevante utilizar rmi implementar sistema clienteservidor obstante rmi fácil y paradigma conocido computación performance contraponer facilidad rmi escapa fácil escalabilidad documento presentado tabla y tabla fusionar él utilizar fila computador y columna detall red esquema clienteservidor anillo distribución clave cuántica computador involucrado presentado área criptografío y seguridad pertinente,2046
10,4,4,2,1,es,1,,"Novedosa propuesta. Bien estructurada. Correctamente escrita. Sólo sugiero: Explicar con más detalle la función trapezoidal de la página 2. Redactar nuevamente  el  párrafo  anterior a la función trapezoidal A(x). Agrandar el esquema de la figura 1. Explicar la arquitectura propuesta mostrada en la figura 2. Revisar referencia de Feng et al. que es la referencia 2 y en un párrafo de la columna 2 página 1 está marcada como referencia 1.  Artículo no está en el formato pedido por Infonor, por favor cambiar a éste formato.",2010-07-05,525,novedosa propuesta estructurada correctamente escrita sugiero explicar detalle función trapezoidal página redactar nuevamente párrafo función trapezoidal ax agrandar esquema figura explicar arquitectura propuesta mostrada figura revisar referencia feng et referencia y párrafo columna página marcada referencia artículo formato pedido infonor favor cambiar formato,novedoso propuesta estructurado correctamente escrito sugiero explicar detalle función trapezoidal páginar redactar nuevamente párrafo función trapezoidal ax agrandar esquema figurar explicar arquitectura propuesto mostrado figurar revisar referencia feng et referencia y párrafo columna págín marcado referencia artículo formato pedido infonor favor cambiar formato,366
11,4,4,2,2,es,0,,"El tema es interesante y está bien estructurado en lo que se refiere a diseño de la propuesta.  El tema trata de un enfoque para la mejora, sin embargo solo establece una propuesta de arquitectura, centrándose en el diseño, y no indica cómo se evaluará o medirá esta mejora para los SDW, se recomienda agregar métricas u otros aspectos para ello. No entrega muchos detalles, se recomienda aumentar el nro. de páginas para sí mejorar este aspecto. No hay muchas referencias bibliográficas a trabajos o esfuerzos relacionados sobre el tema.",2010-07-05,538,tema interesante y estructurado refiere diseño propuesta tema enfoque mejora establece propuesta arquitectura centrándose diseño y indica evaluará medirá mejora sdw recomienda agregar métricas u aspectos entrega detalles recomienda aumentar nro páginas mejorar aspecto referencias bibliográficas trabajos esfuerzos relacionados tema,tema interesante y estructurado referir diseño propuesto tema enfoque mejorar establecer propuesto arquitectura centrar él diseño y indicar evaluar medir mejora sdw recomendar agregar métrica u aspecto entregar detall recomendar aumentar nro página mejorar aspecto referencia bibliográfico trabajo esfuerzo relacionado tema,323
